family,n_nodes,n_edges,connected,n_inlets,n_outlets,volume,R_eq,dissipation,E_baseline
symmetric_tree,15,14,True,1,8,1.0995574287564274e-10,356507072525.8454,2.804993440705174e-12,0.0
murray_tree,15,14,True,1,8,1.0995574287564278e-10,236760726276.45816,4.22367347713037e-12,1.962615573354719e-17
looped_hierarchical,15,17,True,1,8,1.0995574287564277e-10,525666040612.0884,1.9023484926581798e-12,1.962615573354719e-17
grid_lattice,25,40,True,1,8,1.0995574287564274e-10,1330405401845.7231,7.516505860639627e-13,6.938893903907228e-18
