family,pid,tercile,pattern_family,rho,s,batch,batch_seed,best_error,optimizer_success
symmetric_tree,0,0,localized,0.045972928777221624,0.02946839467686412,0,900000,0.006910713919765306,True
symmetric_tree,0,0,localized,0.045972928777221624,0.02946839467686412,1,900001,0.006910713919765306,True
symmetric_tree,0,0,localized,0.045972928777221624,0.02946839467686412,2,900002,0.006910713919765306,True
symmetric_tree,0,0,localized,0.045972928777221624,0.02946839467686412,3,900003,0.006910713919765306,True
symmetric_tree,0,0,localized,0.045972928777221624,0.02946839467686412,4,900004,0.006910713919765306,True
symmetric_tree,1,0,regional,0.10850077183780167,0.0413269432346954,0,900007,0.0060224402373767775,True
symmetric_tree,1,0,regional,0.10850077183780167,0.0413269432346954,1,900008,0.0060224402373767775,True
symmetric_tree,1,0,regional,0.10850077183780167,0.0413269432346954,2,900009,0.006022440237376777,True
symmetric_tree,1,0,regional,0.10850077183780167,0.0413269432346954,3,900010,0.0060224402373767775,True
symmetric_tree,1,0,regional,0.10850077183780167,0.0413269432346954,4,900011,0.006022440237376777,True
symmetric_tree,2,0,multifocal,0.058429950859490654,0.019869591286834264,0,900014,0.0019971954260014574,True
symmetric_tree,2,0,multifocal,0.058429950859490654,0.019869591286834264,1,900015,0.0019971954260014574,True
symmetric_tree,2,0,multifocal,0.058429950859490654,0.019869591286834264,2,900016,0.0019971954260014574,True
symmetric_tree,2,0,multifocal,0.058429950859490654,0.019869591286834264,3,900017,0.0019971954260014574,True
symmetric_tree,2,0,multifocal,0.058429950859490654,0.019869591286834264,4,900018,0.0019971954260014574,True
symmetric_tree,3,0,localized,0.05539146801759046,0.023097120141520443,0,900021,0.0018968610446694304,True
symmetric_tree,3,0,localized,0.05539146801759046,0.023097120141520443,1,900022,0.0018968610446694304,True
symmetric_tree,3,0,localized,0.05539146801759046,0.023097120141520443,2,900023,0.0018968610446694304,True
symmetric_tree,3,0,localized,0.05539146801759046,0.023097120141520443,3,900024,0.0018968610446694304,True
symmetric_tree,3,0,localized,0.05539146801759046,0.023097120141520443,4,900025,0.0018968610446694304,True
symmetric_tree,4,0,regional,0.1814632892772602,0.05309196799975901,0,900028,0.005676797349885519,True
symmetric_tree,4,0,regional,0.1814632892772602,0.05309196799975901,1,900029,0.005676797349885518,True
symmetric_tree,4,0,regional,0.1814632892772602,0.05309196799975901,2,900030,0.005676797349885519,True
symmetric_tree,4,0,regional,0.1814632892772602,0.05309196799975901,3,900031,0.005676797349885519,True
symmetric_tree,4,0,regional,0.1814632892772602,0.05309196799975901,4,900032,0.005676797349885519,True
symmetric_tree,5,0,multifocal,0.26968693308350855,0.05822901981783608,0,900035,0.0035217192841526085,True
symmetric_tree,5,0,multifocal,0.26968693308350855,0.05822901981783608,1,900036,0.0035217192841526085,True
symmetric_tree,5,0,multifocal,0.26968693308350855,0.05822901981783608,2,900037,0.0035217192841526085,True
symmetric_tree,5,0,multifocal,0.26968693308350855,0.05822901981783608,3,900038,0.0035217192841526085,True
symmetric_tree,5,0,multifocal,0.26968693308350855,0.05822901981783608,4,900039,0.0035217192841526085,True
symmetric_tree,6,0,localized,0.2103375331715025,0.14005438984978824,0,900042,0.0345717548730847,True
symmetric_tree,6,0,localized,0.2103375331715025,0.14005438984978824,1,900043,0.0345717548730847,True
symmetric_tree,6,0,localized,0.2103375331715025,0.14005438984978824,2,900044,0.0345717548730847,True
symmetric_tree,6,0,localized,0.2103375331715025,0.14005438984978824,3,900045,0.0345717548730847,True
symmetric_tree,6,0,localized,0.2103375331715025,0.14005438984978824,4,900046,0.0345717548730847,True
symmetric_tree,7,0,regional,0.2553870731131024,0.11255948699524297,0,900049,0.0040017316786642556,True
symmetric_tree,7,0,regional,0.2553870731131024,0.11255948699524297,1,900050,0.004001731678664242,True
