family,pid,tercile,delta_p,n_batches
looped_hierarchical,14,0,0.0,5
looped_hierarchical,15,0,3.469446951953614e-18,5
looped_hierarchical,16,0,8.673617379884035e-19,5
looped_hierarchical,17,0,0.0,5
looped_hierarchical,18,0,1.0408340855860843e-17,5
looped_hierarchical,19,0,1.0842021724855044e-19,5
looped_hierarchical,20,1,0.0,5
looped_hierarchical,21,1,1.5612511283791264e-17,5
looped_hierarchical,22,1,1.734723475976807e-18,5
looped_hierarchical,23,1,0.0,5
looped_hierarchical,24,1,0.0,5
looped_hierarchical,25,1,6.938893903907228e-18,5
looped_hierarchical,26,1,0.0,5
looped_hierarchical,27,1,0.0,5
looped_hierarchical,28,1,6.938893903907228e-18,5
looped_hierarchical,29,1,0.0,5
looped_hierarchical,30,1,0.0,5
looped_hierarchical,31,1,0.0,5
looped_hierarchical,32,1,0.0,5
looped_hierarchical,33,1,3.469446951953614e-18,5
looped_hierarchical,34,1,6.938893903907228e-18,5
looped_hierarchical,35,1,0.0,5
looped_hierarchical,36,1,1.3877787807814457e-17,5
looped_hierarchical,37,1,1.3877787807814457e-17,5
looped_hierarchical,38,1,1.3877787807814457e-17,5
looped_hierarchical,39,1,1.0408340855860843e-17,5
looped_hierarchical,40,2,0.0,5
looped_hierarchical,41,2,2.7755575615628914e-17,5
looped_hierarchical,42,2,0.0,5
looped_hierarchical,43,2,1.3877787807814457e-17,5
looped_hierarchical,44,2,1.3877787807814457e-17,5
looped_hierarchical,45,2,0.0,5
looped_hierarchical,46,2,0.0,5
looped_hierarchical,47,2,1.0408340855860843e-17,5
looped_hierarchical,48,2,1.3877787807814457e-17,5
looped_hierarchical,49,2,0.0,5
looped_hierarchical,50,2,0.0,5
looped_hierarchical,51,2,0.0,5
looped_hierarchical,52,2,2.7755575615628914e-17,5
looped_hierarchical,53,2,0.0,5
looped_hierarchical,54,2,6.938893903907228e-18,5
looped_hierarchical,55,2,0.0,5
looped_hierarchical,56,2,0.0,5
looped_hierarchical,57,2,6.938893903907228e-18,5
looped_hierarchical,58,2,0.0,5
looped_hierarchical,59,2,1.3877787807814457e-17,5
grid_lattice,0,0,4.336808689942018e-18,5
grid_lattice,1,0,8.673617379884035e-18,5
grid_lattice,2,0,0.0,5
grid_lattice,3,0,1.3444106938820255e-17,5
grid_lattice,4,0,4.7704895589362195e-18,5
grid_lattice,5,0,5.204170427930421e-18,5
grid_lattice,6,0,6.938893903907228e-18,5
grid_lattice,7,0,3.469446951953614e-18,5
grid_lattice,8,0,8.673617379884035e-18,5
grid_lattice,9,0,3.469446951953614e-18,5
grid_lattice,10,0,6.5052130349130266e-18,5
grid_lattice,11,0,4.594306705907325e-18,5
grid_lattice,12,0,1.0408340855860843e-17,5
grid_lattice,13,0,0.0,5
grid_lattice,14,0,3.469446951953614e-18,5
grid_lattice,15,0,1.0408340855860843e-17,5
grid_lattice,16,0,1.0625181290357943e-17,5
grid_lattice,17,0,7.37257477290143e-18,5
grid_lattice,18,0,3.469446951953614e-18,5
grid_lattice,19,0,4.336808689942018e-19,5
grid_lattice,20,1,0.0,5
grid_lattice,21,1,1.0408340855860843e-17,5
grid_lattice,22,1,3.469446951953614e-18,5
grid_lattice,23,1,0.0,5
grid_lattice,24,1,0.0,5
grid_lattice,25,1,1.0408340855860843e-17,5
grid_lattice,26,1,1.3877787807814457e-17,5
grid_lattice,27,1,0.0,5
grid_lattice,28,1,6.938893903907228e-18,5
grid_lattice,29,1,0.0,5
grid_lattice,30,1,0.0,5
grid_lattice,31,1,0.0,5
grid_lattice,32,1,0.0,5
grid_lattice,33,1,6.938893903907228e-18,5
grid_lattice,34,1,6.938893903907228e-18,5
grid_lattice,35,1,6.938893903907228e-18,5
grid_lattice,36,1,0.0,5
grid_lattice,37,1,0.0,5
grid_lattice,38,1,0.0,5
grid_lattice,39,1,6.938893903907228e-18,5
grid_lattice,40,2,0.0,5
grid_lattice,41,2,0.0,5
grid_lattice,42,2,0.0,5
grid_lattice,43,2,0.0,5
grid_lattice,44,2,0.0,5
grid_lattice,45,2,0.0,5
grid_lattice,46,2,0.0,5
grid_lattice,47,2,0.0,5
grid_lattice,48,2,1.3877787807814457e-17,5
grid_lattice,49,2,2.7755575615628914e-17,5
grid_lattice,50,2,0.0,5
grid_lattice,51,2,0.0,5
grid_lattice,52,2,0.0,5
grid_lattice,53,2,0.0,5
grid_lattice,54,2,0.0,5
grid_lattice,55,2,0.0,5
grid_lattice,56,2,0.0,5
grid_lattice,57,2,1.3877787807814457e-17,5
grid_lattice,58,2,0.0,5
grid_lattice,59,2,0.0,5
