family,variant,direction_id,n_points,reentry,n_reversals_flagged,final_I,all_accessible
looped_hierarchical,0,10,40,False,0,0,False
looped_hierarchical,0,11,40,False,0,0,False
looped_hierarchical,0,12,40,False,0,0,False
looped_hierarchical,0,13,40,False,0,0,False
looped_hierarchical,0,14,40,False,0,0,False
looped_hierarchical,0,15,40,False,0,0,False
looped_hierarchical,0,16,40,False,0,0,False
looped_hierarchical,0,17,40,False,0,0,False
looped_hierarchical,0,18,40,False,0,0,False
looped_hierarchical,0,19,40,False,0,0,False
looped_hierarchical,1,0,40,False,3,0,False
looped_hierarchical,1,1,40,False,2,0,False
looped_hierarchical,1,2,40,False,7,0,False
looped_hierarchical,1,3,40,False,0,0,False
looped_hierarchical,1,4,40,False,2,0,False
looped_hierarchical,1,5,40,False,0,0,False
looped_hierarchical,1,6,40,False,0,0,False
looped_hierarchical,1,7,40,False,0,0,False
looped_hierarchical,1,8,40,False,6,0,False
looped_hierarchical,1,9,40,False,4,0,False
looped_hierarchical,1,10,40,False,6,0,False
looped_hierarchical,1,11,40,False,0,0,False
looped_hierarchical,1,12,40,False,2,0,False
looped_hierarchical,1,13,40,False,0,0,False
looped_hierarchical,1,14,40,False,0,0,False
looped_hierarchical,1,15,40,False,7,0,False
looped_hierarchical,1,16,40,False,4,0,False
looped_hierarchical,1,17,40,False,5,0,False
looped_hierarchical,1,18,40,False,2,0,False
looped_hierarchical,1,19,40,False,12,0,False
looped_hierarchical,2,0,40,False,2,0,False
looped_hierarchical,2,1,40,False,2,0,False
looped_hierarchical,2,2,40,False,1,0,False
looped_hierarchical,2,3,40,False,0,0,False
looped_hierarchical,2,4,40,False,0,0,False
looped_hierarchical,2,5,40,False,0,0,False
looped_hierarchical,2,6,40,False,0,0,False
looped_hierarchical,2,7,40,False,5,0,False
looped_hierarchical,2,8,40,False,0,0,False
looped_hierarchical,2,9,40,False,0,0,False
looped_hierarchical,2,10,40,False,7,0,False
looped_hierarchical,2,11,40,False,6,0,False
looped_hierarchical,2,12,40,False,1,0,False
looped_hierarchical,2,13,40,False,0,0,False
looped_hierarchical,2,14,40,False,1,0,False
looped_hierarchical,2,15,40,False,0,0,False
looped_hierarchical,2,16,40,False,0,0,False
looped_hierarchical,2,17,40,False,0,0,False
looped_hierarchical,2,18,40,False,0,0,False
looped_hierarchical,2,19,40,False,0,0,False
grid_lattice,0,0,40,False,0,0,False
grid_lattice,0,1,40,False,0,0,False
grid_lattice,0,2,40,False,0,0,False
grid_lattice,0,3,40,False,0,0,False
grid_lattice,0,4,40,False,0,0,False
grid_lattice,0,5,40,False,0,0,False
grid_lattice,0,6,40,False,0,0,False
grid_lattice,0,7,40,False,0,0,False
grid_lattice,0,8,40,False,0,0,False
grid_lattice,0,9,40,False,0,0,False
grid_lattice,0,10,40,False,0,0,False
grid_lattice,0,11,40,False,0,0,False
grid_lattice,0,12,40,False,0,0,False
grid_lattice,0,13,40,False,0,0,False
grid_lattice,0,14,40,False,0,0,False
grid_lattice,0,15,40,False,0,0,False
grid_lattice,0,16,40,False,0,0,False
grid_lattice,0,17,40,False,0,0,False
grid_lattice,0,18,40,False,0,0,False
grid_lattice,0,19,40,False,0,0,False
grid_lattice,1,0,40,False,4,0,False
grid_lattice,1,1,40,False,0,0,False
grid_lattice,1,2,40,False,0,0,False
grid_lattice,1,3,40,False,3,0,False
grid_lattice,1,4,40,False,0,0,False
grid_lattice,1,5,40,False,0,0,False
grid_lattice,1,6,40,False,2,0,False
grid_lattice,1,7,40,False,6,0,False
grid_lattice,1,8,40,False,0,0,False
grid_lattice,1,9,40,False,0,0,False
grid_lattice,1,10,40,False,0,0,False
grid_lattice,1,11,40,False,0,0,False
grid_lattice,1,12,40,False,2,0,False
grid_lattice,1,13,40,False,0,0,False
grid_lattice,1,14,40,False,0,0,False
grid_lattice,1,15,40,False,0,0,False
grid_lattice,1,16,40,False,0,0,False
grid_lattice,1,17,40,False,0,0,False
grid_lattice,1,18,40,False,2,0,False
grid_lattice,1,19,40,False,1,0,False
grid_lattice,2,0,40,False,0,0,False
grid_lattice,2,1,40,False,5,0,False
grid_lattice,2,2,40,False,6,0,False
grid_lattice,2,3,40,False,3,0,False
grid_lattice,2,4,40,False,0,0,False
grid_lattice,2,5,40,False,4,0,False
grid_lattice,2,6,40,False,2,0,False
grid_lattice,2,7,40,False,3,0,False
grid_lattice,2,8,40,False,3,0,False
grid_lattice,2,9,40,False,1,0,False
grid_lattice,2,10,40,False,8,0,False
grid_lattice,2,11,40,False,2,0,False
grid_lattice,2,12,40,False,2,0,False
grid_lattice,2,13,40,False,0,0,False
grid_lattice,2,14,40,False,4,0,False
grid_lattice,2,15,40,False,0,0,False
grid_lattice,2,16,40,False,0,0,False
grid_lattice,2,17,40,False,4,0,False
grid_lattice,2,18,40,False,0,0,False
grid_lattice,2,19,40,False,0,0,False
