family,variant,pattern_family,direction_id,rho,s,s_max,best_error,I_001,optimizer_success,control_effort
symmetric_tree,0,localized,0,0.0,0.0,0.7081063127933944,2.1942709178604383e-17,1,True,0.0
symmetric_tree,0,localized,0,0.025,0.01770265781983486,0.7081063127933944,0.00433109904529353,1,True,0.15621977517442195
symmetric_tree,0,localized,0,0.05,0.03540531563966972,0.7081063127933944,0.008662198090587056,1,True,0.3035970671751544
symmetric_tree,0,localized,0,0.075,0.05310797345950458,0.7081063127933944,0.012993297135880592,0,True,0.44370742773954086
symmetric_tree,0,localized,0,0.1,0.07081063127933944,0.7081063127933944,0.017324396181174123,0,True,0.5777987880253678
symmetric_tree,0,localized,0,0.125,0.0885132890991743,0.7081063127933944,0.02165549522646765,0,True,0.7068828314178377
symmetric_tree,0,localized,0,0.15,0.10621594691900917,0.7081063127933944,0.025986594271761185,0,True,0.8317971107735685
symmetric_tree,0,localized,0,0.175,0.12391860473884402,0.7081063127933944,0.030358600451335097,0,True,0.9191285433874954
symmetric_tree,0,localized,0,0.2,0.14162126255867888,0.7081063127933944,0.03499482395903121,0,True,0.9701179851328784
symmetric_tree,0,localized,0,0.225,0.15932392037851376,0.7081063127933944,0.039841854260928455,0,True,1.024307580370202
symmetric_tree,0,localized,0,0.25,0.1770265781983486,0.7081063127933944,0.04487687970591731,0,True,1.0483501861114102
symmetric_tree,0,localized,0,0.275,0.19472923601818348,0.7081063127933944,0.050144054856621996,0,True,1.0631557811784669
symmetric_tree,0,localized,0,0.3,0.21243189383801833,0.7081063127933944,0.055581658719256355,0,True,1.079762962194314
symmetric_tree,0,localized,0,0.325,0.23013455165785318,0.7081063127933944,0.061144239121108425,0,True,1.0980811996621702
symmetric_tree,0,localized,0,0.35,0.24783720947768803,0.7081063127933944,0.06680058242717735,0,True,1.1180261093112205
symmetric_tree,0,localized,0,0.375,0.2655398672975229,0.7081063127933944,0.07252875492324665,0,True,1.1395201627210494
symmetric_tree,0,localized,0,0.4,0.28324252511735776,0.7081063127933944,0.07831299644387302,0,True,1.162493224992248
symmetric_tree,0,localized,0,0.425,0.30094518293719263,0.7081063127933944,0.08414174455355194,0,True,1.186882932075674
symmetric_tree,0,localized,0,0.45,0.3186478407570275,0.7081063127933944,0.09000635302137144,0,True,1.2126349417012445
symmetric_tree,0,localized,0,0.475,0.33635049857686233,0.7081063127933944,0.09590024314409072,0,True,1.2397030963908684
symmetric_tree,0,localized,0,0.5,0.3540531563966972,0.7081063127933944,0.10181833002548771,0,True,1.2680495113262984
symmetric_tree,0,localized,0,0.525,0.3717558142165321,0.7081063127933944,0.10775663535847585,0,True,1.2968781627190415
symmetric_tree,0,localized,0,0.55,0.38945847203636696,0.7081063127933944,0.11371812634562473,0,True,1.3066659723664111
symmetric_tree,0,localized,0,0.575,0.4071611298562018,0.7081063127933944,0.1197043809790688,0,False,1.3168922073719627
symmetric_tree,0,localized,0,0.6,0.42486378767603666,0.7081063127933944,0.1257118616593012,0,True,1.327553684320506
symmetric_tree,0,localized,0,0.625,0.44256644549587154,0.7081063127933944,0.13173766457758065,0,False,1.338647600646619
symmetric_tree,0,localized,0,0.65,0.46026910331570636,0.7081063127933944,0.13777938577706633,0,True,1.3501715579379596
symmetric_tree,0,localized,0,0.675,0.47797176113554124,0.7081063127933944,0.1438350193523776,0,True,1.3621235732199832
symmetric_tree,0,localized,0,0.7,0.49567441895537606,0.7081063127933944,0.14990287925631926,0,True,1.3745021029618618
symmetric_tree,0,localized,0,0.725,0.5133770767752109,0.7081063127933944,0.15598155164160973,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.75,0.5310797345950458,0.7081063127933944,0.16207218226385234,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.775,0.5487823924148807,0.7081063127933944,0.16817516492776852,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.8,0.5664850502347155,0.7081063127933944,0.17428920206561402,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.825,0.5841877080545503,0.7081063127933944,0.18041316980288957,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.85,0.6018903658743853,0.7081063127933944,0.18654609013178391,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.875,0.6195930236942201,0.7081063127933944,0.1926871082144744,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.9,0.637295681514055,0.7081063127933944,0.1988354737568954,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.925,0.6549983393338898,0.7081063127933944,0.20499052563392542,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.95,0.6727009971537247,0.7081063127933944,0.21115167912827157,0,True,1.3862943611198906
symmetric_tree,0,localized,0,0.975,0.6904036549735596,0.7081063127933944,0.21731841528314083,0,True,1.3862943611198906
symmetric_tree,0,regional,1,0.0,0.0,0.2994960530109479,2.1942709178604383e-17,1,True,0.0
symmetric_tree,0,regional,1,0.025,0.007487401325273698,0.2994960530109479,0.0009598812481164487,1,True,0.0799178726441443
symmetric_tree,0,regional,1,0.05,0.014974802650547396,0.2994960530109479,0.0019197624962328933,1,True,0.15921957199776177
symmetric_tree,0,regional,1,0.075,0.02246220397582109,0.2994960530109479,0.0028796437443493416,1,True,0.23814306299571017
symmetric_tree,0,regional,1,0.1,0.029949605301094792,0.2994960530109479,0.003839524992465791,1,True,0.31691473599401276
symmetric_tree,0,regional,1,0.125,0.03743700662636849,0.2994960530109479,0.00479940624058224,1,True,0.3957539834690007
symmetric_tree,0,regional,1,0.15,0.04492440795164218,0.2994960530109479,0.0057592874886986814,1,True,0.47487740818573365
symmetric_tree,0,regional,1,0.175,0.052411809276915876,0.2994960530109479,0.006719168736815131,1,True,0.5545028760742132
symmetric_tree,0,regional,1,0.2,0.059899210602189584,0.2994960530109479,0.007679049984931578,1,True,0.634853600152959
symmetric_tree,0,regional,1,0.225,0.06738661192746327,0.2994960530109479,0.008638931233048023,1,True,0.716162448789295
symmetric_tree,0,regional,1,0.25,0.07487401325273697,0.2994960530109479,0.00959881248116447,1,True,0.798676697575977
symmetric_tree,0,regional,1,0.275,0.08236141457801067,0.2994960530109479,0.010558693729280916,0,True,0.882663475879032
symmetric_tree,0,regional,1,0.3,0.08984881590328436,0.2994960530109479,0.011518574977397363,0,True,0.968416240232997
symmetric_tree,0,regional,1,0.325,0.09733621722855806,0.2994960530109479,0.012480152580648418,0,True,1.0499168981998235
symmetric_tree,0,regional,1,0.35,0.10482361855383175,0.2994960530109479,0.013537955066986268,0,True,1.0955594091081862
symmetric_tree,0,regional,1,0.375,0.11231101987910547,0.2994960530109479,0.014722467829968186,0,True,1.1428513025051423
symmetric_tree,0,regional,1,0.4,0.11979842120437917,0.2994960530109479,0.01600558350271529,0,True,1.1916455696767148
symmetric_tree,0,regional,1,0.425,0.12728582252965284,0.2994960530109479,0.017431834651448905,0,True,1.2041318578723634
symmetric_tree,0,regional,1,0.45,0.13477322385492654,0.2994960530109479,0.019090354900282706,0,True,1.2052176849057203
symmetric_tree,0,regional,1,0.475,0.14226062518020025,0.2994960530109479,0.02093500499158221,0,True,1.206444440157195
symmetric_tree,0,regional,1,0.5,0.14974802650547395,0.2994960530109479,0.02292089026743784,0,True,1.20781107979441
symmetric_tree,0,regional,1,0.525,0.15723542783074765,0.2994960530109479,0.025014395459051417,0,True,1.209316567574294
symmetric_tree,0,regional,1,0.55,0.16472282915602135,0.2994960530109479,0.027190673816351606,0,True,1.2109598763964602
symmetric_tree,0,regional,1,0.575,0.17221023048129502,0.2994960530109479,0.02943136928292965,0,False,1.2127399863489114
symmetric_tree,0,regional,1,0.6,0.17969763180656873,0.2994960530109479,0.03172283477283599,0,True,1.2146558871480049
symmetric_tree,0,regional,1,0.625,0.18718503313184243,0.2994960530109479,0.034054823256870106,0,True,1.2167065799994938
symmetric_tree,0,regional,1,0.65,0.19467243445711613,0.2994960530109479,0.036419551355888494,0,True,1.218891073080407
symmetric_tree,0,regional,1,0.675,0.20215983578238983,0.2994960530109479,0.038811035128520716,0,True,1.2212083871920705
symmetric_tree,0,regional,1,0.7,0.2096472371076635,0.2994960530109479,0.04122461846282958,0,True,1.2236575541700823
symmetric_tree,0,regional,1,0.725,0.2171346384329372,0.2994960530109479,0.04365663615007461,0,True,1.2262376174056306
symmetric_tree,0,regional,1,0.75,0.22462203975821093,0.2994960530109479,0.04610417101900504,0,True,1.2289476326851134
symmetric_tree,0,regional,1,0.775,0.23210944108348464,0.2994960530109479,0.04856487705775499,0,True,1.231786669010039
symmetric_tree,0,regional,1,0.8,0.23959684240875834,0.2994960530109479,0.05103684918561862,0,True,1.234753812520062
symmetric_tree,0,regional,1,0.825,0.247084243734032,0.2994960530109479,0.05351852631408897,0,True,1.2378481488490496
symmetric_tree,0,regional,1,0.85,0.2545716450593057,0.2994960530109479,0.05600861840595265,0,True,1.2410688006519526
symmetric_tree,0,regional,1,0.875,0.2620590463845794,0.2994960530109479,0.058506051016377215,0,True,1.244414891295759
symmetric_tree,0,regional,1,0.9,0.2695464477098531,0.2994960530109479,0.061009922702735656,0,True,1.2478855639663793
symmetric_tree,0,regional,1,0.925,0.2770338490351268,0.2994960530109479,0.06351947200451337,0,True,1.2514799786106567
symmetric_tree,0,regional,1,0.95,0.2845212503604005,0.2994960530109479,0.0660340516108626,0,True,1.2551973125784888
symmetric_tree,0,regional,1,0.975,0.2920086516856742,0.2994960530109479,0.06855310797794294,0,True,1.2590367660227038
symmetric_tree,0,multifocal,2,0.0,0.0,0.22088888408197374,2.1942709178604383e-17,1,True,0.0
symmetric_tree,0,multifocal,2,0.025,0.005522222102049344,0.22088888408197374,0.0008839357909347829,1,True,0.05945517721146797
symmetric_tree,0,multifocal,2,0.05,0.011044444204098688,0.22088888408197374,0.0017678715818695593,1,True,0.11818813373785454
symmetric_tree,0,multifocal,2,0.075,0.01656666630614803,0.22088888408197374,0.0026518073728043438,1,True,0.17626550264560872
symmetric_tree,0,multifocal,2,0.1,0.022088888408197376,0.22088888408197374,0.0035357431637391217,1,True,0.23375080911516036
symmetric_tree,0,multifocal,2,0.125,0.027611110510246718,0.22088888408197374,0.004419678954673905,1,True,0.290704926076138
symmetric_tree,0,multifocal,2,0.15,0.03313333261229606,0.22088888408197374,0.0053036147456086875,1,True,0.3471864854022992
symmetric_tree,0,multifocal,2,0.175,0.038655554714345404,0.22088888408197374,0.006187550536543464,1,True,0.40325226892447985
symmetric_tree,0,multifocal,2,0.2,0.04417777681639475,0.22088888408197374,0.007071486327478247,1,True,0.4589575654794474
symmetric_tree,0,multifocal,2,0.225,0.049699998918444094,0.22088888408197374,0.007955422118413024,1,True,0.5143565121406409
symmetric_tree,0,multifocal,2,0.25,0.055222221020493435,0.22088888408197374,0.00883935790934781,1,True,0.569502421757331
symmetric_tree,0,multifocal,2,0.275,0.060744443122542784,0.22088888408197374,0.009723293700282585,1,True,0.6244481160201544
symmetric_tree,0,multifocal,2,0.3,0.06626666522459213,0.22088888408197374,0.010607229491217368,0,True,0.6792462281476662
symmetric_tree,0,multifocal,2,0.325,0.07178888732664147,0.22088888408197374,0.011491165282152152,0,True,0.733949536467204
symmetric_tree,0,multifocal,2,0.35,0.07731110942869081,0.22088888408197374,0.012375101073086928,0,True,0.7886112873278928
symmetric_tree,0,multifocal,2,0.375,0.08283333153074016,0.22088888408197374,0.013259614538235702,0,True,0.8401070087276388
symmetric_tree,0,multifocal,2,0.4,0.0883555536327895,0.22088888408197374,0.014231251411654777,0,True,0.8576949257031105
symmetric_tree,0,multifocal,2,0.425,0.09387777573483884,0.22088888408197374,0.015331637564763625,0,True,0.8759068997609235
symmetric_tree,0,multifocal,2,0.45,0.09939999783688819,0.22088888408197374,0.016535088712469215,0,True,0.8946957144391866
