family,variant,direction_id,rho_j,rho_k,reversal,threshold,near_boundary,escalate
symmetric_tree,2,19,0.0,0.025,0.0005188693685036325,1.4398204850607506e-17,False,True
symmetric_tree,2,19,0.025,0.05,0.0003927547318096896,1.4398204850607506e-17,False,False
symmetric_tree,2,19,0.05,0.075,0.00015657155810926875,1.4398204850607506e-17,False,False
murray_tree,1,1,0.0,0.025,0.0003750840257247391,1.7520707107365754e-17,False,True
murray_tree,1,1,0.025,0.05,1.6870742534497423e-05,1.7520707107365754e-17,False,False
murray_tree,1,2,0.0,0.025,0.0006045530268709073,1.7520707107365754e-17,False,True
murray_tree,1,6,0.0,0.025,0.00010027999292313867,1.7520707107365754e-17,False,True
murray_tree,1,7,0.0,0.025,0.0005783130304598981,1.7520707107365754e-17,False,True
murray_tree,1,8,0.0,0.025,0.0010933689926831012,1.7520707107365754e-17,False,True
murray_tree,1,10,0.0,0.025,0.0003198505259727276,1.7520707107365754e-17,False,True
murray_tree,1,11,0.0,0.025,0.0006726260644430526,1.7520707107365754e-17,False,True
murray_tree,1,11,0.025,0.05,0.0003046812285073643,1.7520707107365754e-17,False,False
murray_tree,1,12,0.0,0.025,8.730533210033137e-05,1.7520707107365754e-17,False,True
murray_tree,1,15,0.0,0.025,4.833662466280234e-05,1.7520707107365754e-17,False,True
murray_tree,1,15,0.025,0.05,4.5479555819631385e-05,1.7520707107365754e-17,False,False
murray_tree,1,15,0.05,0.075,4.245567920600551e-05,1.7520707107365754e-17,False,False
murray_tree,1,16,0.0,0.025,0.00018381423890107213,1.7520707107365754e-17,False,True
murray_tree,1,16,0.025,0.05,6.6203290376115e-05,1.7520707107365754e-17,False,False
murray_tree,2,2,0.0,0.025,0.0003596687528764574,1.7520707107365754e-17,False,True
murray_tree,2,2,0.025,0.05,0.0002490572022610803,1.7520707107365754e-17,False,False
murray_tree,2,2,0.05,0.075,0.00011091863599895684,1.7520707107365754e-17,False,False
murray_tree,2,3,0.0,0.025,0.0008081752687585739,1.7520707107365754e-17,False,True
murray_tree,2,3,0.025,0.05,0.00035644595339300814,1.7520707107365754e-17,False,False
murray_tree,2,11,0.0,0.025,2.1717418031127166e-05,1.7520707107365754e-17,False,True
murray_tree,2,12,0.0,0.025,0.0002437765919831728,1.7520707107365754e-17,False,True
murray_tree,2,15,0.0,0.025,0.00019925332544374046,1.7520707107365754e-17,False,True
murray_tree,2,15,0.025,0.05,0.00011927281130196064,1.7520707107365754e-17,False,False
murray_tree,2,15,0.05,0.075,3.083072498253226e-05,1.7520707107365754e-17,False,False
murray_tree,2,17,0.0,0.025,0.0004522437710018346,1.7520707107365754e-17,False,True
murray_tree,2,17,0.025,0.05,0.0004093901321574078,1.7520707107365754e-17,False,False
murray_tree,2,17,0.05,0.075,0.0003456347033102252,1.7520707107365754e-17,False,False
murray_tree,2,17,0.075,0.1,0.0002526437495320097,1.7520707107365754e-17,False,False
murray_tree,2,17,0.1,0.125,0.0001266054329539328,1.7520707107365754e-17,False,False
murray_tree,2,19,0.0,0.025,0.00022138199796278325,1.7520707107365754e-17,False,True
murray_tree,2,19,0.025,0.05,0.00021169306205030304,1.7520707107365754e-17,False,False
murray_tree,2,19,0.05,0.075,0.00020002028049931038,1.7520707107365754e-17,False,False
murray_tree,2,19,0.075,0.1,0.00018594505236539964,1.7520707107365754e-17,False,False
looped_hierarchical,1,0,0.0,0.025,0.0013326748409368625,1.0581813203458526e-17,True,True
looped_hierarchical,1,0,0.025,0.05,0.0008294619087389774,1.0581813203458526e-17,True,True
looped_hierarchical,1,0,0.05,0.075,0.00014768386038298883,1.0581813203458526e-17,False,False
looped_hierarchical,1,1,0.0,0.025,0.0003222390044454321,1.0581813203458526e-17,True,True
looped_hierarchical,1,1,0.025,0.05,0.00014212907986256226,1.0581813203458526e-17,True,True
looped_hierarchical,1,2,0.0,0.025,0.0007339974147217276,1.0581813203458526e-17,True,True
looped_hierarchical,1,2,0.025,0.05,0.0007132264623788548,1.0581813203458526e-17,True,True
looped_hierarchical,1,2,0.05,0.075,0.0006863464638370131,1.0581813203458526e-17,False,False
looped_hierarchical,1,2,0.075,0.1,0.0006511093601182958,1.0581813203458526e-17,False,False
looped_hierarchical,1,2,0.1,0.125,0.0006044326280944239,1.0581813203458526e-17,False,False
looped_hierarchical,1,2,0.125,0.15,0.0005422895986068746,1.0581813203458526e-17,False,False
looped_hierarchical,1,2,0.15,0.175,2.1426338283293475e-06,1.0581813203458526e-17,False,False
looped_hierarchical,1,4,0.0,0.025,9.542727086952509e-05,1.0581813203458526e-17,True,True
looped_hierarchical,1,4,0.025,0.05,3.537402439291598e-06,1.0581813203458526e-17,True,False
looped_hierarchical,1,8,0.0,0.025,0.0011511929453443277,1.0581813203458526e-17,True,True
looped_hierarchical,1,8,0.025,0.05,0.001083103419246236,1.0581813203458526e-17,True,True
looped_hierarchical,1,8,0.05,0.075,0.000979215008125301,1.0581813203458526e-17,False,False
looped_hierarchical,1,8,0.075,0.1,0.0008182958973328384,1.0581813203458526e-17,False,False
looped_hierarchical,1,8,0.1,0.125,0.0005744531472042409,1.0581813203458526e-17,False,False
looped_hierarchical,1,8,0.125,0.15,0.00023766423232261542,1.0581813203458526e-17,False,False
looped_hierarchical,1,9,0.0,0.025,0.0008120602301565812,1.0581813203458526e-17,True,True
looped_hierarchical,1,9,0.025,0.05,0.0005993566631018743,1.0581813203458526e-17,True,True
looped_hierarchical,1,9,0.05,0.075,0.00033658403664429005,1.0581813203458526e-17,True,True
looped_hierarchical,1,9,0.075,0.1,3.893206561373687e-05,1.0581813203458526e-17,False,False
looped_hierarchical,1,10,0.0,0.025,0.0006801355298460491,1.0581813203458526e-17,True,True
looped_hierarchical,1,10,0.025,0.05,0.0006033730147818536,1.0581813203458526e-17,True,True
looped_hierarchical,1,10,0.05,0.075,0.0005083531931891162,1.0581813203458526e-17,True,True
looped_hierarchical,1,10,0.075,0.1,0.0003932527333784406,1.0581813203458526e-17,False,False
looped_hierarchical,1,10,0.1,0.125,0.0002586367700678216,1.0581813203458526e-17,False,False
looped_hierarchical,1,10,0.125,0.15,0.00010877587916421211,1.0581813203458526e-17,False,False
looped_hierarchical,1,12,0.0,0.025,0.0008804165769121901,1.0581813203458526e-17,True,True
looped_hierarchical,1,12,0.025,0.05,0.0003769645111476559,1.0581813203458526e-17,True,True
looped_hierarchical,1,15,0.0,0.025,0.0007061378140989609,1.0581813203458526e-17,True,True
looped_hierarchical,1,15,0.025,0.05,0.0006494760381258909,1.0581813203458526e-17,True,True
looped_hierarchical,1,15,0.05,0.075,0.0005780360747118718,1.0581813203458526e-17,True,True
looped_hierarchical,1,15,0.075,0.1,0.0004888481848511744,1.0581813203458526e-17,False,False
looped_hierarchical,1,15,0.1,0.125,0.00037984047613578726,1.0581813203458526e-17,False,False
looped_hierarchical,1,15,0.125,0.15,0.0002512655958500755,1.0581813203458526e-17,False,False
looped_hierarchical,1,15,0.15,0.175,0.00010716641019577287,1.0581813203458526e-17,False,False
looped_hierarchical,1,16,0.0,0.025,0.0005239098578114915,1.0581813203458526e-17,True,True
looped_hierarchical,1,16,0.025,0.05,0.00039398563548042817,1.0581813203458526e-17,True,True
looped_hierarchical,1,16,0.05,0.075,0.00024542256481773807,1.0581813203458526e-17,True,True
looped_hierarchical,1,16,0.075,0.1,8.345174062942932e-05,1.0581813203458526e-17,True,False
looped_hierarchical,1,17,0.0,0.025,0.0011569520620499686,1.0581813203458526e-17,True,True
looped_hierarchical,1,17,0.025,0.05,0.001030770083089264,1.0581813203458526e-17,True,True
looped_hierarchical,1,17,0.05,0.075,0.0008431404196167442,1.0581813203458526e-17,False,False
looped_hierarchical,1,17,0.075,0.1,0.000573207071645745,1.0581813203458526e-17,False,False
looped_hierarchical,1,17,0.1,0.125,0.0002195784265485749,1.0581813203458526e-17,False,False
looped_hierarchical,1,18,0.0,0.025,0.0008663200352480756,1.0581813203458526e-17,True,True
looped_hierarchical,1,18,0.025,0.05,0.00037765526494020624,1.0581813203458526e-17,True,True
looped_hierarchical,1,19,0.0,0.025,0.0005322856160356725,1.0581813203458526e-17,True,True
looped_hierarchical,1,19,0.025,0.05,0.0005155016668411411,1.0581813203458526e-17,True,True
looped_hierarchical,1,19,0.05,0.075,0.0004954182015580299,1.0581813203458526e-17,True,True
looped_hierarchical,1,19,0.075,0.1,0.00047129838532169923,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.1,0.125,0.00044227335331700843,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.125,0.15,0.0004073638568245124,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.15,0.175,0.0003655493063853916,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.175,0.2,0.0003159123162361577,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.2,0.225,0.0002578807042891455,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.225,0.25,0.00019155414954867642,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.25,0.275,0.00011802913738335856,1.0581813203458526e-17,False,False
looped_hierarchical,1,19,0.275,0.3,3.955135474190564e-05,1.0581813203458526e-17,False,False
looped_hierarchical,2,0,0.0,0.025,0.00042656149180150815,1.0581813203458526e-17,False,True
looped_hierarchical,2,0,0.025,0.05,0.00015678671453576987,1.0581813203458526e-17,False,False
looped_hierarchical,2,1,0.0,0.025,0.00010507146463013383,1.0581813203458526e-17,False,True
looped_hierarchical,2,1,0.025,0.05,4.903807945508178e-05,1.0581813203458526e-17,False,False
looped_hierarchical,2,2,0.0,0.025,0.00014895197008429548,1.0581813203458526e-17,False,True
looped_hierarchical,2,7,0.0,0.025,0.0005540063954504251,1.0581813203458526e-17,False,True
looped_hierarchical,2,7,0.025,0.05,0.00045538930672422116,1.0581813203458526e-17,False,False
looped_hierarchical,2,7,0.05,0.075,0.00033554412994733513,1.0581813203458526e-17,False,False
looped_hierarchical,2,7,0.075,0.1,0.0001960870978594655,1.0581813203458526e-17,False,False
looped_hierarchical,2,7,0.1,0.125,4.32061521153165e-05,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.0,0.025,0.0008435254124782923,1.0581813203458526e-17,False,True
looped_hierarchical,2,10,0.025,0.05,0.0008215637439989119,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.05,0.075,0.0007892774594092456,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.075,0.1,0.0007400001768904946,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.1,0.125,0.0006621705319673553,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.125,0.15,0.000537273749854318,1.0581813203458526e-17,False,False
looped_hierarchical,2,10,0.15,0.175,0.0003436788836813443,1.0581813203458526e-17,False,False
looped_hierarchical,2,11,0.0,0.025,0.00034398640071275736,1.0581813203458526e-17,False,True
looped_hierarchical,2,11,0.025,0.05,0.0002996225314180617,1.0581813203458526e-17,False,False
looped_hierarchical,2,11,0.05,0.075,0.0002493997704989953,1.0581813203458526e-17,False,False
looped_hierarchical,2,11,0.075,0.1,0.00019349466187410652,1.0581813203458526e-17,False,False
looped_hierarchical,2,11,0.1,0.125,0.00013258200986494134,1.0581813203458526e-17,False,False
looped_hierarchical,2,11,0.125,0.15,6.789164965014926e-05,1.0581813203458526e-17,False,False
looped_hierarchical,2,12,0.0,0.025,0.0009454837831183735,1.0581813203458526e-17,False,True
looped_hierarchical,2,14,0.0,0.025,7.114478317812607e-05,1.0581813203458526e-17,False,True
grid_lattice,1,0,0.0,0.025,0.0005785157496155623,1.076612757278106e-17,False,True
grid_lattice,1,0,0.025,0.05,0.0005206540325135775,1.076612757278106e-17,False,False
grid_lattice,1,0,0.05,0.075,0.0004318911142658223,1.076612757278106e-17,False,False
grid_lattice,1,0,0.075,0.1,0.0002776024155582116,1.076612757278106e-17,False,False
grid_lattice,1,3,0.0,0.025,0.0008466367034104627,1.076612757278106e-17,False,True
grid_lattice,1,3,0.025,0.05,0.0006436596787792082,1.076612757278106e-17,False,False
grid_lattice,1,3,0.05,0.075,0.0002908111442164684,1.076612757278106e-17,False,False
grid_lattice,1,6,0.0,0.025,0.000428725556776993,1.076612757278106e-17,False,True
grid_lattice,1,6,0.025,0.05,1.0888862602169078e-06,1.076612757278106e-17,False,False
grid_lattice,1,7,0.0,0.025,0.00010618307490205346,1.076612757278106e-17,False,True
grid_lattice,1,7,0.025,0.05,8.903821320535316e-05,1.076612757278106e-17,False,False
grid_lattice,1,7,0.05,0.075,7.08041727910131e-05,1.076612757278106e-17,False,False
