net_id,K,beta_label,beta_value,E0_star,correctable
tree_000,4,log2,0.6931471805599453,0.10209942743674293,0
tree_000,4,log4,1.3862943611198906,0.09896808854905564,0
tree_000,6,log2,0.6931471805599453,0.09901052534269102,0
tree_000,6,log4,1.3862943611198906,0.09896808854905564,0
tree_000,8,log2,0.6931471805599453,0.0987035988736376,0
tree_000,8,log4,1.3862943611198906,0.09697065303799034,0
tree_012,4,log2,0.6931471805599453,0.09688084146266769,0
tree_012,4,log4,1.3862943611198906,0.09686925988271385,0
tree_012,6,log2,0.6931471805599453,0.0968245836551854,0
tree_012,6,log4,1.3862943611198906,0.0968245836551854,0
tree_012,8,log2,0.6931471805599453,0.0968245836551854,0
tree_012,8,log4,1.3862943611198906,0.09682458365518541,0
tree_024,4,log2,0.6931471805599453,0.12499999999999999,0
tree_024,4,log4,1.3862943611198906,0.12499999999999999,0
tree_024,6,log2,0.6931471805599453,0.12499999999999999,0
tree_024,6,log4,1.3862943611198906,0.12499999999999999,0
tree_024,8,log2,0.6931471805599453,0.12499999999999999,0
tree_024,8,log4,1.3862943611198906,0.12499999999999999,0
loopy_hierarchical_011,4,log2,0.6931471805599453,0.05247934481306753,0
loopy_hierarchical_011,4,log4,1.3862943611198906,0.04902781450219863,0
loopy_hierarchical_011,6,log2,0.6931471805599453,0.0472455591261534,0
loopy_hierarchical_011,6,log4,1.3862943611198906,0.04724555912615339,0
loopy_hierarchical_011,8,log2,0.6931471805599453,0.04790896392159683,0
loopy_hierarchical_011,8,log4,1.3862943611198906,0.04724555912615339,0
loopy_hierarchical_008,4,log2,0.6931471805599453,0.07512826379588075,0
loopy_hierarchical_008,4,log4,1.3862943611198906,0.07320071811837403,0
loopy_hierarchical_008,6,log2,0.6931471805599453,0.0730049380789584,0
loopy_hierarchical_008,6,log4,1.3862943611198906,0.07266765632295864,0
loopy_hierarchical_008,8,log2,0.6931471805599453,0.07254224506076894,0
loopy_hierarchical_008,8,log4,1.3862943611198906,0.07216878364870322,0
loopy_hierarchical_015,4,log2,0.6931471805599453,0.10179444877398053,0
loopy_hierarchical_015,4,log4,1.3862943611198906,0.09974428557148883,0
loopy_hierarchical_015,6,log2,0.6931471805599453,0.09605077580998354,0
loopy_hierarchical_015,6,log4,1.3862943611198906,0.08978667583859583,0
loopy_hierarchical_015,8,log2,0.6931471805599453,0.0898282116833564,0
loopy_hierarchical_015,8,log4,1.3862943611198906,0.0769692455918069,0
lattice_007,4,log2,0.6931471805599453,0.055454538759897934,0
lattice_007,4,log4,1.3862943611198906,0.05320893220918456,0
lattice_007,6,log2,0.6931471805599453,0.05448751198266873,0
lattice_007,6,log4,1.3862943611198906,0.05300850378298182,0
lattice_007,8,log2,0.6931471805599453,0.049296321234482236,0
lattice_007,8,log4,1.3862943611198906,0.0472455591261534,0
lattice_017,4,log2,0.6931471805599453,0.028105982940365898,0
lattice_017,4,log4,1.3862943611198906,0.018864625622667545,0
lattice_017,6,log2,0.6931471805599453,0.01920432039352669,0
lattice_017,6,log4,1.3862943611198906,0.014195406672350116,0
lattice_017,8,log2,0.6931471805599453,0.012022447630718105,0
lattice_017,8,log4,1.3862943611198906,0.008085868578309006,1
lattice_020,4,log2,0.6931471805599453,0.06388132464381817,0
lattice_020,4,log4,1.3862943611198906,0.05798671405083547,0
lattice_020,6,log2,0.6931471805599453,0.06318485173340367,0
lattice_020,6,log4,1.3862943611198906,0.05720650248180753,0
lattice_020,8,log2,0.6931471805599453,0.05883418232042631,0
lattice_020,8,log4,1.3862943611198906,0.05242247007516299,0
random_spatial_013,4,log2,0.6931471805599453,0.060939998102771745,0
random_spatial_013,4,log4,1.3862943611198906,0.053390244277031776,0
random_spatial_013,6,log2,0.6931471805599453,0.05310282997753228,0
random_spatial_013,6,log4,1.3862943611198906,0.03402700906288911,0
random_spatial_013,8,log2,0.6931471805599453,0.039928780387668075,0
random_spatial_013,8,log4,1.3862943611198906,0.01543043799751086,0
random_spatial_017,4,log2,0.6931471805599453,0.09441296604393921,0
random_spatial_017,4,log4,1.3862943611198906,0.08814223046176092,0
random_spatial_017,6,log2,0.6931471805599453,0.09307935097662481,0
random_spatial_017,6,log4,1.3862943611198906,0.08078834333293232,0
random_spatial_017,8,log2,0.6931471805599453,0.09099605181930812,0
random_spatial_017,8,log4,1.3862943611198906,0.0852399162227134,0
random_spatial_005,4,log2,0.6931471805599453,0.03368134312874055,0
random_spatial_005,4,log4,1.3862943611198906,0.030637658320895808,0
random_spatial_005,6,log2,0.6931471805599453,0.028565821745562228,0
random_spatial_005,6,log4,1.3862943611198906,0.02379568284382058,0
random_spatial_005,8,log2,0.6931471805599453,0.025463928076575788,0
random_spatial_005,8,log4,1.3862943611198906,0.01702736520929786,0
