family,rho8,p8,rho16,p16,best_percentile,n_sampled
murray_tree,0.4276374419296917,9.092319631148414e-06,0.4378978160910617,5.20894934941805e-06,86.11388611388611,100
grid_lattice,0.46385377694111246,1.1707827742536477e-06,0.46788619227991046,9.181144120624499e-07,71.63146952620637,100
