family,variant,direction_id,separation_over_dx,width_over_dx,E_at_rho0.2,I_at_rho0.2
symmetric_tree,0,2,2.7913314576079,0.9302947894569338,0.007071486327478247,1
symmetric_tree,0,5,1.7573315527386328,1.6265869649895612,0.0056356446979781,1
symmetric_tree,0,8,4.390899463716171,1.1575153098057858,0.007569818755302816,1
symmetric_tree,0,11,2.212274687751055,1.2471136847612658,0.004670921706363284,1
symmetric_tree,0,14,5.278651810743102,1.422259954047886,0.008606055481771794,1
symmetric_tree,0,17,1.2604485542979735,0.5172397469822797,0.003434886598997509,1
symmetric_tree,1,2,1.811450586296719,0.6848176276006912,0.012403747464408912,0
symmetric_tree,1,5,3.24989602269845,0.7950212226211868,0.021992003461652566,0
symmetric_tree,1,8,4.2087274105457055,0.6724078956503275,0.022107740022295996,0
symmetric_tree,1,11,4.544756312699823,0.50222854468307,0.018118509713776747,0
symmetric_tree,1,14,4.740871909276785,1.5115806051577083,0.01964164495233197,0
symmetric_tree,1,17,3.6029249659231466,0.9562889488535926,0.02219285848974285,0
symmetric_tree,2,2,4.494395434057328,1.9276238561659584,0.0043613772298650615,1
symmetric_tree,2,5,3.1373466474142013,1.8122404241744463,0.0026583403272612835,1
symmetric_tree,2,8,1.1352292139265963,0.7875867145990647,0.005982459682227488,1
symmetric_tree,2,11,3.93107928262865,1.6080033396034903,0.00464252633455855,1
symmetric_tree,2,14,3.4156254804366886,0.7993253156867056,0.007838900669518846,1
symmetric_tree,2,17,3.0806180971313046,1.8453536473939807,0.005127872217350338,1
murray_tree,0,2,1.1307554921578495,1.1959121017539955,0.009161705695238005,1
murray_tree,0,5,1.7754147037850037,1.4307900610297013,0.006385139930608376,1
murray_tree,0,8,3.1293285759994416,0.708982178674252,0.012182989591544945,0
murray_tree,0,11,4.794174866484251,0.7478075318179005,0.01281353471811377,0
murray_tree,0,14,2.930395996782704,0.5070623920296213,0.01970792132493187,0
murray_tree,0,17,1.8091667935606324,1.3838632030780982,0.008981690611542758,1
murray_tree,1,2,1.6815523434523618,1.0639396436011355,0.013991381099776844,0
murray_tree,1,5,1.7883036140170308,0.5127764555053671,0.020351552230372147,0
murray_tree,1,8,5.110844600930206,0.9316412904853812,0.018627271686564608,0
murray_tree,1,11,5.123946969885869,1.2213983773620978,0.008542498699326443,1
