family,stratum,score8,score16,mean_error,candidate
murray_tree,0,0.047381333115204836,0.04788845654615573,0.05869609885718112,"[('in0', 'in00'), ('in01', 'out3'), ('in10', 'out5'), ('in11', 'out6')]"
murray_tree,0,0.04945780493958701,0.04859379435493413,0.05651921227739807,"[('in', 'in1'), ('in0', 'in00'), ('in0', 'in01'), ('in10', 'out5')]"
murray_tree,0,0.04607628587472633,0.04213210948132112,0.057868930969135216,"[('in1', 'in11'), ('in01', 'out2'), ('in10', 'out4'), ('in11', 'out6')]"
murray_tree,0,0.04696710636847789,0.04709796051860351,0.06360940882481354,"[('in', 'in0'), ('in', 'in1'), ('in00', 'out1'), ('in10', 'out5')]"
murray_tree,0,0.06772016654444174,0.06817586424853664,0.0606920280720745,"[('in1', 'in11'), ('in10', 'out5'), ('in11', 'out6'), ('in11', 'out7')]"
murray_tree,0,0.047851449108549986,0.04814346445208194,0.059963181778285,"[('in00', 'out0'), ('in01', 'out2'), ('in10', 'out4'), ('in10', 'out5')]"
murray_tree,0,0.04945780493958705,0.048593794354934154,0.055544568566188876,"[('in', 'in1'), ('in0', 'in00'), ('in0', 'in01'), ('in11', 'out7')]"
murray_tree,0,0.04738133311520484,0.04788845654615574,0.056315550513531064,"[('in1', 'in11'), ('in00', 'out0'), ('in01', 'out2'), ('in10', 'out4')]"
murray_tree,0,0.04607628587472632,0.04213210948132112,0.058504340852189196,"[('in1', 'in11'), ('in00', 'out0'), ('in10', 'out4'), ('in11', 'out7')]"
murray_tree,0,0.04864060997387652,0.04705051619235577,0.05436971332621491,"[('in', 'in1'), ('in0', 'in00'), ('in0', 'in01'), ('in00', 'out0')]"
murray_tree,0,0.04785144910854999,0.04814346445208195,0.060790210484728956,"[('in01', 'out2'), ('in01', 'out3'), ('in10', 'out5'), ('in11', 'out6')]"
murray_tree,0,0.06960976521779727,0.06817586424853664,0.06026095340546996,"[('in1', 'in10'), ('in10', 'out4'), ('in10', 'out5'), ('in11', 'out7')]"
