family,n_top,best_error,poor_error,poor_wins
symmetric_tree,5,0.04941196639605477,0.061590740212175296,False
symmetric_tree,10,0.04941196639605477,0.061590740212175296,False
symmetric_tree,20,0.046762800912152534,0.061590740212175296,False
murray_tree,5,0.059591220551761415,0.05314945692540714,True
murray_tree,10,0.05849034817873418,0.05314945692540714,True
murray_tree,20,0.0573973990376795,0.05314945692540714,True
looped_hierarchical,5,0.058854504900149304,0.06266512319594846,False
looped_hierarchical,10,0.05823668251579284,0.06266512319594846,False
looped_hierarchical,20,0.05823668251579284,0.06266512319594846,False
grid_lattice,5,0.06649025141274982,0.06576764116659442,True
grid_lattice,10,0.06649025141274982,0.06576764116659442,True
grid_lattice,20,0.06649025141274982,0.06576764116659442,True
