family,beta_label,beta_value,direction_id,pattern_family,rho,s,best_error,I_001
symmetric_tree,low,0.22314355131420976,0,localized,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,0,localized,0.1,0.07081063127933944,0.0191873728523914,0
symmetric_tree,low,0.22314355131420976,0,localized,0.2,0.14162126255867888,0.04288966235062045,0
symmetric_tree,low,0.22314355131420976,0,localized,0.3,0.21243189383801833,0.06730840558696093,0
symmetric_tree,low,0.22314355131420976,0,localized,0.4,0.28324252511735776,0.09204924653871781,0
symmetric_tree,low,0.22314355131420976,0,localized,0.5,0.3540531563966972,0.11691553570666784,0
symmetric_tree,low,0.22314355131420976,0,localized,0.6,0.42486378767603666,0.14184131121204863,0
symmetric_tree,low,0.22314355131420976,0,localized,0.7,0.49567441895537606,0.16679990713029177,0
symmetric_tree,low,0.22314355131420976,0,localized,0.8,0.5664850502347155,0.19177850986630215,0
symmetric_tree,low,0.22314355131420976,0,localized,0.9,0.637295681514055,0.21677020332589395,0
symmetric_tree,low,0.22314355131420976,1,regional,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,1,regional,0.1,0.029949605301094792,0.003839524992465791,1
symmetric_tree,low,0.22314355131420976,1,regional,0.2,0.059899210602189584,0.010625892845593735,0
symmetric_tree,low,0.22314355131420976,1,regional,0.3,0.08984881590328436,0.020354845097410985,0
symmetric_tree,low,0.22314355131420976,1,regional,0.4,0.11979842120437917,0.03043622209016324,0
symmetric_tree,low,0.22314355131420976,1,regional,0.5,0.14974802650547395,0.04069410782435146,0
symmetric_tree,low,0.22314355131420976,1,regional,0.6,0.17969763180656873,0.05108719920431131,0
symmetric_tree,low,0.22314355131420976,1,regional,0.7,0.2096472371076635,0.061547040122859435,0
symmetric_tree,low,0.22314355131420976,1,regional,0.8,0.23959684240875834,0.0720445632067514,0
symmetric_tree,low,0.22314355131420976,1,regional,0.9,0.2695464477098531,0.08256539675821321,0
symmetric_tree,low,0.22314355131420976,2,multifocal,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,2,multifocal,0.1,0.022088888408197376,0.0035357431637391217,1
symmetric_tree,low,0.22314355131420976,2,multifocal,0.2,0.04417777681639475,0.008480475931718147,1
symmetric_tree,low,0.22314355131420976,2,multifocal,0.3,0.06626666522459213,0.015319892494798206,0
symmetric_tree,low,0.22314355131420976,2,multifocal,0.4,0.0883555536327895,0.0226307163473845,0
symmetric_tree,low,0.22314355131420976,2,multifocal,0.5,0.11044444204098687,0.030072610287486236,0
symmetric_tree,low,0.22314355131420976,2,multifocal,0.6,0.13253333044918425,0.03762823215167697,0
symmetric_tree,low,0.22314355131420976,2,multifocal,0.7,0.15462221885738162,0.045270139915792366,0
